epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,7312.27,1.57469,1.45873,1.4556,0.56632,0.52097,0.5375,0.24267,1.84415,1.60267,1.68921,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7397.36,1.56248,1.45666,1.44826,0.55643,0.52902,0.53746,0.2413,1.8464,1.60243,1.69163,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7482.57,1.55989,1.44148,1.45012,0.56056,0.52497,0.53508,0.2404,1.84603,1.60249,1.69207,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,7567.11,1.56113,1.44421,1.44838,0.5617,0.52761,0.53702,0.24037,1.85042,1.60157,1.69446,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,7651.49,1.55607,1.43159,1.44376,0.56576,0.52247,0.53685,0.24051,1.85297,1.60165,1.69613,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,7732.1,1.55759,1.36259,1.49522,0.5684,0.52191,0.53748,0.23989,1.85618,1.59788,1.69819,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,7811.77,1.54294,1.33892,1.48699,0.57093,0.52216,0.53512,0.23941,1.8581,1.60216,1.70109,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,7890.01,1.52962,1.30366,1.47316,0.57383,0.52265,0.53563,0.23873,1.8639,1.6027,1.70401,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,7969.21,1.5247,1.30132,1.47014,0.5763,0.52616,0.53666,0.23778,1.86793,1.60358,1.70752,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,8049.85,1.5205,1.29453,1.46745,0.57155,0.52598,0.53601,0.23802,1.87154,1.60345,1.71042,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
